,url,content_dec
120,https://sputnikglobe.com//20220824/truss-vows-to-declassify-more-intelligence-on-russia-if-becomes-uk-prime-minister-1099927894.html,
121,https://sputnikglobe.com//20230805/watch-russian-paratroopers-wipe-out-ukrainian-troops-near-artemovsk-1112410492.html,
122,https://sputnikglobe.com//20230523/british-ex-pm-johnson-in-texas-to-urge-republicans-to-keep-arming-ukraine-1110534729.html,
123,https://sputnikglobe.com//20240408/western-media-instructed-to-cover-up-number-of-moscow-terror-attack-victims---kremlin-1117806186.html,
124,https://sputnikglobe.com//20230709/erdogan-biden-discuss-ukraine-swedens-nato-bid-f-16-procurement--1111778119.html,
125,https://sputnikglobe.com//20230407/france-should-submit-its-own-plan-on-conflict-resolution-in-ukraine-xi-jinping-says-1109245840.html,
126,https://sputnikglobe.com//20231220/us-senator-says-ukraine-western-backers-desire-to-return-to-1991-borders-fantasy-1115707929.html,
127,https://sputnikglobe.com//20221104/us-economy-in-shambles-as-midterm-red-wave-looms-us-senate-candidate-says-us-out-of-nato-1103774855.html,
128,https://sputnikglobe.com//20240711/key-global-challenge-this-century-to-avert-new-wars-amid-great-competition---us-senator-1119334462.html,
129,https://sputnikglobe.com//20240423/us-congressman-says-facing-500-fine-for-sharing-video-of-lawmakers-waving-ukrainian-flag-1118082014.html,
130,https://sputnikglobe.com//20220623/federal-reserve-says-it-cant-control-prices-of-oil-or-most-food-amid-decades-high-inflation-1096599691.html,
131,https://sputnikglobe.com//20221023/kiev-preparing-nuclear-incident-provocation-against-russia-sources-say-1102544673.html,
132,https://sputnikglobe.com//20221210/cameroonian-footballer-wearing-russian-flag-on-his-boots-shares-his-world-cup-experience-1105291550.html,
133,https://sputnikglobe.com//20230806/dozens-protest-outside-un-hq-in-new-york-calling-to-stop-arming-of-ukraine-1112428323.html,
134,https://sputnikglobe.com//20240116/spain-sent-ukraine-over-144-million-worth-of-arms-over-18-months---reports-1116200253.html,
135,https://sputnikglobe.com//20240515/putin-visits-beijing-as-biden-bogged-down-in-efforts-to-undermine-russia-china-1118436022.html,
136,https://sputnikglobe.com//20221129/who-called-for-united-states-to-withdraw-from-nato-1104825337.html,
137,https://sputnikglobe.com//20220602/live-updates-russia-has-practically-no-contacts-with-biden-administration-kremlin-says-1095934019.html,
138,https://sputnikglobe.com//20240426/us-cluster-munition-coalition-slams-us-decision-to-transfer-new-batch-of-munitions-to-ukraine-1118126210.html,
139,https://sputnikglobe.com//20241021/state-depts-attack-on-rybar-proves-popular-milblog-is-doing-something-right---founder-1120624380.html,
140,https://sputnikglobe.com//20230201/putins-decree-on-russias-retaliatory-steps-over-eus-oil-price-cap-enters-into-force-1106873501.html,
141,https://sputnikglobe.com//20241225/four-killed-5-injured-in-ukraines-shelling-of-lgov-town-in-kursk-region-1121268291.html,
