url,date
https://www.lakmusz.hu/orosz-eredetu-e-mailekkel-probaljak-leterhelni-a-tenyellenorzo-szerkesztosegeket/?lang=hu,2024-06-19
https://gadmo.eu/autos-fallen-aus-parkhaus/,2023-07-07
https://gadmo.eu/rechenfehler-verpflegungskosten-nur-rund-halb-so-hoch-wie-angegeben/,2024-02-19
https://epl.delfi.ee/artikkel/120225711/faktikontroll-lottemaa-teemapargi-tegelasi-ei-ole-kujutatud-surnuna-levival-vaitel-puudub-kontekst,2023-08-21
https://www.knack.be/factcheck/factcheck-vrouwen-die-in-het-groen-wonen-komen-gemiddeld-anderhalf-jaar-later-in-de-menopauze,2020-07-28
https://gadmo.eu/dieses-bild-wurde-von-einer-ki-generiert-und-zeigt-keine-franzsischen-bauernproteste/,2024-02-08
https://gadmo.eu/alte-bder-auf-malta-widerlegen-meeresspiegel-anstieg-nicht/,2024-07-12
https://www.faktisk.no/artikler/zmler/har-byradet-i-oslo-opprettet-3000-nye-barnehageplasser,2022-11-08
https://cedmohub.eu/sk/vlady-igora-matovica-eduarda-hegera-a-ludovita-odora-nezvysili-dlh-verejnej-spravy-zo-40-na-60-hdp/,2024-08-05
https://gadmo.eu/neun-angeklagte-im-prozess-um-gruppenvergewaltigung-verurteilt/,2023-11-30
https://www.tjekdet.dk/fup-og-spam/falske-venneanmodninger-i-omloeb-paa-facebook,2024-03-19
https://rebaltica.lv/2024/06/sveice-nav-aizliegta-mamografija-puse-rezultatu-nav-viltus-pozitivi/,2024-06-19
https://gadmo.eu/impfungen-per-nasenspray-in-deutschland-noch-nicht-zugelassen/,2023-10-06
https://defacto-observatoire.fr/Medias/20-Minutes/Fact-checks/Retraites-Attention-a-ce-tableau-comparant-les-annees-de-cotisations-en-Europe/,2023-04-21
https://gadmo.eu/nein-elektroauto-batterien-sind-bei-stau-im-winter-nicht-nach-drei-stunden-leer/,2024-01-02
https://www.knack.be/factcheck/factcheck-nee-het-woord-samenzweringstheorie-is-niet-bedacht-door-de-cia,2020-10-19
https://www.knack.be/factcheck/factcheck-nee-ledverlichting-bedreigt-uw-online-veiligheid-niet,2023-03-06
https://nieuwscheckers.nl/waarom-niet-bewezen-is-dat-door-uitgestelde-zorg-tijdens-de-coronacrisis-100-tot-400-duizend-levensjaren-verloren-gingen,2020-05-29
https://nieuwscheckers.nl/laptops-minder-fragiel-dan-onderzoek-claimt,2009-12-30
https://defacto-observatoire.fr/Medias/20-Minutes/Fact-checks/Guerre-Hamas-Israel-Attention-a-cette-video-qui-pretend-montrer-l-aide-humanitaire-francaise-vers-Gaza/,2023-12-12
https://www.tjekdet.dk/faktatjek/forskere-afviser-rygter-om-giftige-insekter,2024-01-25
https://www.knack.be/nieuws/gezondheid/factcheck-slechts-de-helft-van-de-volwassenen-gaat-naar-de-tandarts,2018-05-29
https://edmo.eu/2022/04/05/ukrainian-refugees-and-disinformation-situation-in-poland-hungary-slovakia-and-romania/,2022-04-05
https://gadmo.eu/artikel-ber-vermeintliche-verhaftung-von-klaus-schwab-ist-satire/,2024-04-23
https://www.tjekdet.dk/indsigt/eu-enhed-valgkamp-har-ikke-vaeret-soelet-til-i-russisk-desinformation,2019-05-24
https://www.tjekdet.dk/forskning/forudsigelse-af-covid-19-relateret-kollektiv-frygt-paa-twitter,2023-03-21
https://edmo.eu/2022/06/06/10-tips-for-dealing-with-misinformation-on-foreigner-crime/,2022-06-06
https://gadmo.eu/general-schreiben-zur-machtbernahme-ist-geflscht/,2022-11-11
https://www.knack.be/factcheck/factcheck-nee-oekraiense-vluchtelingen-werden-niet-uit-bulgaarse-hotels-gegooid-wegens-wangedrag,2022-06-28
https://www.knack.be/factcheck/factcheck-nee-een-leerling-op-school-afzonderen-omdat-hij-geen-mondmasker-draagt-is-niet-noodzakelijk-discriminatie,2020-09-30
https://meddmo.eu/claims-that-the-image-of-a-mother-was-removed-from-greek-milk-cartons-fuel-anti-lgbt-sentiment/,2024-02-26
https://gadmo.eu/dieses-foto-zeigt-keine-aktuelle-demo-in-dresden-es-ist-von-mrz-2022/,2022-11-04
https://belux.edmo.eu/high-profile-accounts-spread-baseless-claims-of-secret-migrant-flights-to-us/,2024-03-15
https://faktabaari.fi/fakta/toisin-kuin-zelenskyi-vaitti-euroopassa-on-ollut-lukuisia-donbasin-taistelua-julmempia-yhteenottoja/,2022-07-07
https://admohub.eu/sl/media/ostro/povezovanje-umrljivosti-kitov-z-vetrnimi-elektrarnami-je-neutemeljeno/,2020-07-19
https://cedmohub.eu/pl/film-z-koktajlami-mootowa-pokazuje-antyrzdowe-protesty-podczas-euromajdanu-w-kijowie-w-2014-roku/,2022-03-01
https://belux.edmo.eu/nl/mag-je-een-autoruit-inslaan-om-een-hond-die-het-te-warm-heeft-te-redden-niet-zo-snel-zegt-de-politie/,2023-06-23
https://brodhub.eu/ro/media/afp/factchecks/logo-ul-rainforest-alliance-nu-a-fost-inlocuit-pentru-a-crea-confuzie-in-ceea-ce-priveste-siguranta-alimentara/,2024-01-01
https://www.knack.be/factcheck/factcheck-nee-deze-australische-man-belaagde-niet-de-dokter-die-familielid-een-dodelijk-covidvaccin-had-toegendiend,2023-01-26
https://gadmo.eu/bauernprotest-vor-ukrainischer-botschaft-in-paris-ist-frei-erfunden/,2024-02-21
https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Videos-detournees-photos-recyclees-regain-de-desinformation-autour-du-conflit-russo-ukrainien/,2022-02-24
https://faktabaari.fi/fakta/faktantarkistus-ruotsin-rikollisjengien-suurimpia-tulonlahteita-ovat-talousrikokset-ja-petokset/,2024-08-12
https://www.lakmusz.hu/csokkent-a-szegenyseg-de-kitorni-belole-sokkal-nehezebb-lett/?lang=fr,2022-02-16
https://belux.edmo.eu/fr/non-les-oliennes-de-tournent-pas-au-diesel-en-ecosse/,2024-03-19
https://www.lakmusz.hu/nem-a-citrom-nem-hatekonyabb-a-rak-ellen-mint-a-kemoterapia/?lang=hu,2023-09-26
https://factcheck.vlaanderen/factcheck/je-mag-wel-nog-vliegen-na-een-vaccinatie,2021-06-08
https://gadmo.eu/massives-blutgerinnsel-hat-nichts-mit-einer-nebenwirkung-des-corona-impfstoffs-zu-tun/,2023-02-15
https://www.lakmusz.hu/az-optikai-illuziok-nem-arulnak-el-semmit-arrol-hogy-mennyire-stresszes-valaki/?lang=hu,2023-10-06
https://belux.edmo.eu/photo-of-syrian-girl-holding-babys-oxygen-mask-misrepresented-online/,2024-01-03
https://cedmohub.eu/pl/polscy-najemnicy-w-donbasie-nie-to-falsz/,2022-02-17
https://gadmo.eu/berlin-wahl-2023-keine-hinweise-auf-unterschlagenen-stimmzettel-in-pankow/,2023-02-17
https://defacto-observatoire.fr/Medias/De-Facto/Fact-checks/Elections-et-desinformation-quand-le-discours-alarmiste-sur-l-IA-est-remis-en-cause-par-des-chercheurs/,2024-02-21
https://belux.edmo.eu/fr/fact-check-la-premire-amende-de-lanne-ne-compte-pas-pour-du-beurre/,2022-07-18
https://nieuwscheckers.nl/ondanks-groene-cijfers-op-de-rode-lijst-is-er-geen-reden-tot-juichen,2021-02-12
https://www.thejournal.ie/video-prove-masks-increase-carbon-dioxide-5631705-Dec2021/,2021-12-16
https://www.lakmusz.hu/video-a-fideszes-trolloldalkrol-nyomozas-a-propagandakoltesekrol-es-a-wagner-csoport-akciojanak-visszhangja-ilyen-volt-a-lakmusz-juniusa/?lang=hu,2023-07-06
https://epl.delfi.ee/artikkel/120315688/faktikontroll-kas-facebook-kustutas-richard-dawkinsi-konto-x-i-postituse-parast-milles-ta-kutsub-naispoksijaid-meesteks-ei-tema-kontot-hakiti,2024-08-19
https://www.vrt.be/vrtnws/nl/2022/07/25/check-jane-goodall-overbevolking,2022-07-25
https://www.knack.be/factcheck/evolutie-bosbranden-europa,2023-09-04
https://edmo.eu/publications/old-cars-immigrants-and-war-how-eu-related-misinformation-is-spread-in-the-baltics/,2024-06-07
https://gadmo.eu/wladimir-putin-kniend-vor-xi-jinping-woran-sich-erkennen-lsst-dass-dieses-bild-nicht-echt-ist/,2023-03-30
https://gadmo.eu/foto-zeigt-im-westjordanland-getteten-palstinenser/,2023-07-16
https://brodhub.eu/ro/media/factual/fals-ucraina-este-cea-mai-bogata-tara-din-lume-pentru-asta-se-bat-puterile-lumii/lipsa-context-la-oradea-s-a-dat-jos-statuia-voievodului-mihai-viteazul-si-se-amplaseaza-statuia-lui-ladislau-al-ungariei/,
https://brodhub.eu/ro/media/factual/strategiile-anti-pandemie-intelese-pe-dos-de-conspirationisti/,2023-07-11
